Avg_Net_Price_Q,comp_rate_150,median_earnings_y6
Q3,0.3268,35291
Q4,0.8866,60081
Q3,0.4188,25402
Q3,0.4949,38647
Q1,0.5,34554
Q1,0.6363,37533
Q1,0.3626,39775
Q2,0.5502,43804
Q2,0.5867,45935
Q1,0.3077,40296
Q1,0.546,40835
Q2,0.6111,48276
Q2,0.6233,47967
Q2,0.459,29196
Q1,0.4491,41624
Q3,0.3333,30259
Q2,0.4819,34682
Q3,0.48,28940
Q3,0.6209,40173
Q3,0.25,46175
Q3,0.7011,40626
Q3,0.5505,37308
Q1,0.1138,37312
Q2,0.6213,37312
Q2,0.6023,40981
Q4,0.8549,65156
Q3,0.7376,39931
Q1,0.28,24928
Q3,0.7281,42023
Q1,0.1953,42023
Q1,0.1461,42023
Q4,0.6403,31025
Q2,0.4827,40759
Q4,0.6122,33277
Q4,0.8088,57197
Q3,0.4549,38157
Q4,0.8046,45217
Q4,0.6268,45039
Q1,0.4324,26614
Q3,0.5221,37966
Q2,0.4964,39312
Q3,0.7516,48194
Q1,0.2629,35224
Q1,0.1875,35224
Q1,0.3102,35224
Q1,0.237,35224
Q1,0.3139,35224
Q1,0.2253,35224
Q2,0.6497,35224
Q1,0.1635,35224
Q4,0.8901,42583
Q3,0.4182,53952
Q3,0.4839,38332
Q3,0.4342,35686
Q2,0.5434,38128
Q2,0.5266,42257
Q3,0.4857,53496
Q1,0.1618,41966
Q1,0.1506,41966
Q3,0.8159,41966
Q2,0.7975,59077
Q3,0.6588,41583
Q3,0.6238,36762
Q2,0.5533,39954
Q2,0.5573,37307
Q2,0.4286,38859
Q4,0.862,37507
Q2,0.5289,39162
Q3,0.7596,63550
Q1,0.1775,44737
Q2,0.2026,44737
Q1,0.1283,44737
Q2,0.3158,44737
Q2,0.8703,44737
Q1,0.3043,39914
Q1,0.2,39914
Q1,0.2991,39914
Q1,0.2494,39914
Q3,0.6612,39914
Q1,0.2699,39914
Q3,0.6659,39983
Q3,0.6571,41054
Q4,0.5313,33637
Q3,0.787,40389
Q3,0.4118,24689
Q2,0.5255,38002
Q2,0.3587,48546
Q3,0.5882,30802
Q2,0.6018,44664
Q2,0.3939,27100
Q3,0.5196,38512
Q3,0.6298,39995
Q3,0.7399,40105
Q2,0.4343,36906
Q1,0.3689,36906
Q4,0.6874,48268
Q1,0.4736,31461
Q2,0.0922,31133
Q4,0.3602,44579
Q2,0.3527,37090
Q1,0.3915,35594
Q2,0.5455,33410
Q1,0.3554,35563
Q1,0.2581,35166
Q2,0.5952,37322
Q1,0.6375,43292
Q3,0.5466,36416
Q3,0.7051,42974
Q3,0.7209,46766
